date,rf,mkt_rf,smb,hml,mom
2018-12-26,0.00001000,0.00416721,0.01044576,-0.00858867,0.00736795
2018-12-27,0.00001015,-0.00186979,0.00070492,-0.00827109,-0.00209888
2018-12-30,0.00003089,0.01229958,0.00464728,-0.00514447,-0.00321762
2018-12-31,0.00000923,0.00170017,0.00385901,-0.00093862,-0.00138037
2019-01-01,0.00000938,0.01169196,0.00019642,0.00330414,-0.00327042
2019-01-02,0.00000635,-0.01022216,0.00079667,-0.00501435,-0.00216323
2019-01-03,0.00000645,-0.00640991,0.00239406,0.00406530,-0.00789586
2019-01-06,0.00002173,0.02054198,0.00139720,-0.00612208,-0.00176432
2019-01-07,0.00000814,0.00477957,-0.00070048,-0.00646761,0.00371905
2019-01-08,0.00000824,0.00822954,0.00104952,0.00867444,-0.00425656
2019-01-09,0.00000595,0.00157310,0.00074225,0.00602340,0.00028324
2019-01-10,0.00000723,-0.00424654,0.00034203,-0.00011752,0.00199515
2019-01-13,0.00001830,-0.00378419,0.01120518,-0.00453315,0.00093905
2019-01-14,0.00000633,-0.00388395,0.00216141,0.00170294,0.00292097
2019-01-15,0.00000513,0.00658878,-0.00357091,-0.00079985,0.00371939
2019-01-16,0.00000650,0.00922829,-0.00274146,0.00356821,0.00372545
2019-01-17,0.00000658,-0.00027516,0.00141886,0.00553787,-0.00158795
2019-01-20,0.00002001,0.01009479,-0.00186779,-0.00456966,0.00622280
2019-01-21,0.00000834,-0.00481021,0.00503575,-0.00186534,0.00169055
2019-01-22,0.00000845,-0.00271916,0.00589663,-0.00166905,-0.00069418
2019-01-23,0.00000714,0.00503202,0.00056335,0.00009145,-0.00100879
2019-01-24,0.00000580,0.00346325,-0.00171287,0.00235240,-0.00192774
2019-01-27,0.00001765,0.00376987,-0.00060764,-0.00335210,0.00347732
2019-01-28,0.00000616,0.00196224,-0.00362174,0.00432556,0.00355617
2019-01-29,0.00000781,0.00312034,0.00417747,0.00680706,0.00408703
2019-01-30,0.00000635,0.00636595,-0.00073440,0.00203094,-0.00320625
2019-01-31,0.00000807,0.00665782,-0.00180419,0.00044586,-0.00822810
2019-02-03,0.00001968,0.00211309,-0.00004722,-0.00276547,0.00266063
2019-02-04,0.00000656,-0.00268292,-0.00310973,0.00312583,-0.00013167
2019-02-05,0.00000656,0.00517669,-0.00545623,0.00054433,0.01656221
2019-02-06,0.00000656,-0.00457068,0.00545126,-0.00355176,-0.00193323
2019-02-07,0.00000656,-0.01054915,-0.00667054,-0.00726001,0.00606425
2019-02-10,0.00002023,-0.00114925,-0.00495167,-0.00214046,0.00284030
2019-02-11,0.00000698,0.00472109,0.00056326,0.00512708,0.00525771
2019-02-12,0.00000706,0.00512364,-0.00180789,-0.00038833,-0.00128869
2019-02-13,0.00000715,0.00453745,0.00464483,-0.00380484,-0.00141733
2019-02-14,0.00000723,-0.00472577,-0.00140344,0.00181209,0.00522085
2019-02-17,0.00002196,0.00534576,-0.00138184,-0.00096544,-0.00273309
2019-02-18,0.00000633,0.00103915,0.00233933,0.00423715,-0.00152252
2019-02-19,0.00000641,-0.00344131,-0.00254362,-0.00334461,0.00112059
2019-02-20,0.00000779,0.00602114,-0.00436728,0.00033134,-0.01215367
2019-02-21,0.00000790,-0.00533373,0.00130479,-0.00185757,0.00427911
2019-02-24,0.00002001,0.00274057,0.00122367,0.00259969,-0.00220235
2019-02-25,0.00000834,0.00760240,0.00532320,0.00099381,-0.00569477
2019-02-26,0.00000704,-0.00323456,-0.00062905,-0.00266457,0.00853290
2019-02-27,0.00000714,-0.00890715,0.00518098,0.00492574,0.00053434
2019-02-28,0.00000725,0.00382550,0.00291205,-0.00195511,0.00945641
2019-03-03,0.00001765,0.00565735,0.00273011,0.00615560,-0.00965752
2019-03-04,0.00000616,0.00396002,0.00007925,0.00253930,-0.00483675
2019-03-05,0.00000625,-0.00926672,-0.00164304,-0.00039570,0.00092567
2019-03-06,0.00000635,-0.00132840,0.00120203,0.00011826,-0.00084059
2019-03-07,0.00000807,-0.01361973,-0.00021007,-0.00149294,0.00341867
2019-03-10,0.00001995,-0.00312457,0.00261504,0.00064506,-0.00141237
2019-03-11,0.00000698,0.00532948,-0.00273132,-0.00138185,0.00543074
2019-03-12,0.00000588,-0.00288531,0.00862166,-0.00321991,0.00672824
2019-03-13,0.00000595,0.01105026,-0.00365317,0.00163906,-0.00218120
2019-03-14,0.00000723,-0.00246703,0.00360658,0.00018139,-0.00006229
2019-03-17,0.00001830,0.00694083,0.00159430,0.00245390,0.00293992
2019-03-18,0.00000633,-0.00174111,0.01004985,0.00319455,-0.00317727
2019-03-19,0.00000641,0.00002754,0.00704996,0.00747870,0.00540473
2019-03-20,0.00000650,-0.00335739,0.00107819,0.00338873,0.01818539
2019-03-24,0.00003201,-0.01106241,-0.00095685,-0.00200369,0.00242717
2019-03-25,0.00000556,-0.00638455,-0.00196362,0.00361565,0.00017728
2019-03-26,0.00000704,0.01317388,-0.00537623,-0.00974823,0.00388200
2019-03-27,0.00000857,0.00290217,0.00183494,0.00607608,-0.00118363
2019-03-28,0.00000870,-0.00699766,0.00774165,0.00306199,0.00429868
2019-03-31,0.00002648,0.00832307,-0.00678073,0.00530524,0.00656131
2019-04-01,0.00000616,0.00800500,-0.00442382,0.00249230,-0.00671932
2019-04-02,0.00000469,0.00040864,0.00080116,-0.00037489,0.00293240
2019-04-03,0.00000635,0.00015795,-0.00377441,0.00234951,0.00539822
2019-04-04,0.00000645,-0.00656742,0.00341229,0.00566918,0.00672566
2019-04-07,0.00002164,0.00718329,0.00155373,0.00201374,-0.00229012
